source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'blogTO'}",Becky Robertson,Experts say Toronto real estate prices are finally going to drop later this year,"Even if realtors insist that home prices in and around Toronto are on the verge of another spike, after months of unprecedentedly low activity and record-high inventory, other experts are predicting the complete opposite.
One could argue that the latest mark…",https://www.blogto.com/real-estate-toronto/2024/08/toronto-real-estate-prices-drop/,https://media.blogto.com/articles/20240812-toronto-real-estate.jpg?w=1200&cmd=resize_then_crop&height=630&quality=70,2024-08-12T19:07:45Z,"Even if realtors insist that home prices in and around Toronto are on the verge of another spike, after months of unprecedentedly low activity and record-high inventory, other experts are predicting … [+2082 chars]"
"{'id': None, 'name': 'blogTO'}",Irish Mae Silvestre,Global Affairs is hiring admin staff across Canada and salaries start at nearly $74k,"Global Affairs Canada (GAC) has openings for several administrative jobs at the moment. In these roles, you can contribute to Canada's international mission.
The government department manages diplomatic relations, promotes international trade, and provides c…",https://www.blogto.com/city/2024/08/global-affairs-hiring-canada-salaries-74k/,https://media.blogto.com/articles/20240821-canada-jobs-0.jpg?w=1200&cmd=resize_then_crop&height=630&quality=70,2024-08-21T12:01:01Z,"Global Affairs Canada (GAC) has openings for several administrative jobs at the moment. In these roles, you can contribute to Canada's international mission.
The government department manages diplom… [+2153 chars]"
"{'id': None, 'name': 'Orf.at'}",ORF.at,Feuerwehrmann starb bei Waldbrand in Kanada,,https://orf.at/stories/3365655/,https://orf.at/mojo/1_4_1/storyserver//news/common/images/og-fallback-news.png,2024-08-04T21:18:04Z,"Im Westen Kanadas ist ein Feuerwehrmann bei der Bekämpfung des Waldbrands im Nationalpark Jasper ums Leben gekommen. Der aus Calgary stammende 24-Jährige sei gestern gestorben, nachdem er von einem u… [+560 chars]"
"{'id': None, 'name': 'Olhardigital.com.br'}",Kelvin Leão Nunes da Costa,10 melhores filmes sobre Olimpíadas e atletas olímpicos para assistir online,"Selecionamos dez filmes que capturam a essência e o espírito das Olimpíadas e dos atletas olímpicos e que você pode assistir online!
O post 10 melhores filmes sobre Olimpíadas e atletas olímpicos para assistir online apareceu primeiro em Olhar Digital.",https://olhardigital.com.br/2024/07/31/cinema-e-streaming/10-melhores-filmes-sobre-olimpiadas-e-atletas-olimpicos-para-assistir-online/,https://img.odcdn.com.br/wp-content/uploads/2024/07/Design-sem-nome-12-3-scaled.jpg,2024-07-31T10:20:00Z,"As Olimpíadas são um dos maiores eventos esportivos do mundo, celebrando a dedicação, a força e o espírito competitivo dos atletas de elite.
Para entrar no clima olímpico, que tal assistir a alguns … [+5851 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",The Canadian Press,TC Energy signs deal to sell minority stake in pipeline to Indigenous groups,CALGARY — TC Energy Corp. is selling a minority stake in its Western Canadian natural gas transmission network to a consortium of Indigenous communities for $1 billion.,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_3f062b3c-e638-486a-80de-b4dc806fa1c9,,2024-07-30T16:06:16Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",The Hockey News - Calgary Flames,Offer Sheet Candidates the Flames Might Look at Next Summer,"The Calgary Flames aren't in a window to contend right now, but might there be any RFAs worthy of offer sheets next summer?",https://sports.yahoo.com/offer-sheet-candidates-flames-might-182000158.html,https://media.zenfs.com/en/the_hockey_news_calgary_flames_articles_103/283aa4ef1d7a94f10f3438fe36643dc7,2024-08-20T18:20:00Z,"As the Edmonton Oilers navigated their options and declined the offer sheets for two players (Philip Broberg and Dylan Holloway), talks of RFAs and offer sheets across the NHL will continue, with eve… [+5405 chars]"
"{'id': None, 'name': 'Mundodeportivo.com'}",EFE EFE,La reacción de Adri Arnaus (64) llega tarde en la República Checa,"El golfista francés David Ravetto, con un total de 265 golpes, conquistó este domingo el D+D Masters de la República Checa y firmó la primera victoria de su carrera en el DP World Tour tras una jornada final en la que el español Adri Arnaus (64), autor de och…",https://www.mundodeportivo.com/golf/20240818/1002300245/david-ravetto-conquista-masters-r-checa-firma-primera-victoria-carrera.html,https://www.mundodeportivo.com/files/og_thumbnail/files/fp/uploads/2024/08/18/66c253e5495d7.r_d.2470-1768-2514.jpeg,2024-08-18T20:10:29Z,"El golfista francés David Ravetto, con un total de 265 golpes, conquistó este domingo el D+D Masters de la República Checa y firmó la primera victoria de su carrera en el DP World Tour tras una jorna… [+1297 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",The Hockey News - Calgary Flames,Flames' Imminent Superiority Over Oilers: Columnist Offers Misleading Narrative,"The idea of Calgary soon being better than Edmonton is nice for Flames fans in theory, but a stretch from reality...",https://consent.yahoo.com/v2/collectConsent?sessionId=2_cc-session_e73b474c-7d9e-4b49-9af9-5ab30593aa3c,,2024-08-12T18:00:00Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
"{'id': None, 'name': 'MMA Mania'}",Ryan Harkness,UFC Headed To Edmonton With ‘Thug Rose’ And ‘Black Beast’,UFC CEO Dana White announced a new Edmonton show along with a promise to return to Canada more often moving forward.,https://www.mmamania.com/2024/8/15/24220965/ufc-returns-to-edmonton-on-november-2nd-with-rose-namajunas-and-derrick-lewis-fights,https://cdn.vox-cdn.com/thumbor/4kypDIhdgL3a9zCUseBV5arUiFc=/0x295:7032x3977/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/25573491/2161944009.jpg,2024-08-15T12:42:05Z,"Photo by Josh Hedges/Zuffa LLC via Getty Images

 

 UFC CEO Dana White announced a new Edmonton show along with a promise to return to Canada more often moving forward. The UFC will return to Canad… [+1726 chars]"
"{'id': None, 'name': ""Tom's Guide""}",Nassim Chentouf,"Cette arnaque au stationnement est redoutable, comment ne se pas se faire piéger ?","Cette nouvelle arnaque au stationnement est redoutable, imitant parfaitement des contraventions pour vider votre compte bancaire. Répandue en Amérique du Nord, elle pourrait arriver chez nous.
L’article Cette arnaque au stationnement est redoutable, comment n…",https://www.tomsguide.fr/cette-arnaque-au-stationnement-est-redoutable-comment-ne-se-pas-se-faire-pieger/,https://www.tomsguide.fr/content/uploads/sites/2/2024/08/parking-arnaque-stationnement.jpg,2024-08-21T18:10:08Z,"Cette nouvelle arnaque au stationnement est redoutable, imitant parfaitement des contraventions pour vider votre compte bancaire. Répandue en Amérique du Nord, elle pourrait arriver chez nous.© Envat… [+2639 chars]"
"{'id': None, 'name': 'kicker'}",kicker,Geschichtsträchtig: Sprinterin Burghardt gelingt ein Kunststück,Die Leichtathletin Alexandra Burghardt hat durch Bronze mit der deutschen Sprint-Staffel auch ein Stück deutsche Olympia-Geschichte geschrieben.,https://www.kicker.de/geschichtstraechtig-sprinterin-burghardt-gelingt-ein-kunststueck-1043585/artikel,https://derivates.kicker.de/image/upload/c_crop%2Cx_0%2Cy_152%2Cw_4000%2Ch_2250/w_1200%2Cq_auto/v1/2024/08/10/17dff135-1f32-4466-b322-dd3c9cfdbc69.jpeg,2024-08-10T08:19:28Z,"Die Leichtathletin Alexandra Burghardt hat durch Bronze mit der deutschen Sprint-Staffel auch ein Stück deutsche Olympia-Geschichte geschrieben. 
 Burghardt gelang damit als erster Sportlerin seit d… [+2064 chars]"
"{'id': None, 'name': 'iPhone in Canada'}",John Quintet,Uber Eats Brings Cannabis Delivery to Alberta,"Uber Eats announced today that Albertans can order legal cannabis for home delivery through a partnership with Leafly starting on Tuesday, July 30. The service allows residents aged 18 and older to place orders from local licensed cannabis retailers via the U…",https://www.iphoneincanada.ca/2024/07/29/uber-eats-cannabis-delivery-alberta/,https://cdn.iphoneincanada.ca/wp-content/uploads/2017/09/iic-logo-1.svg,2024-07-29T17:14:47Z,"Uber Eats announced today that Albertans can order legal cannabis for home delivery through a partnership with Leafly starting on Tuesday, July 30.
The service allows residents aged 18 and older to … [+1435 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",The Hockey News - Calgary Flames,Oliver Kylington Leaves Flames to Sign UFA Deal with Avalanche,"Oliver Kylington has officially parted ways with the Calgary Flames, signing a one-year contract with the Colorado Avalanche as he seeks to re-establish his career in the NHL.",https://sports.yahoo.com/oliver-kylington-leaves-flames-sign-204500354.html,https://media.zenfs.com/en/the_hockey_news_calgary_flames_articles_103/2669c70e204bc736b9640d97001b208c,2024-08-05T20:45:00Z,"Choosing to leave the Calgary Flames as an unrestricted free agent, defenseman Oliver Kylington has signed a one-year contract with the Colorado Avalanche. Elliotte Friedman reports the deal is value… [+1607 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",The Hockey News - Calgary Flames,Flames Should Consider Trading Rasmus Andersson Ahead of the Trade Deadline,"Rasmus Andersson might be the next logical piece of the Calgary Flames' recent sell-off. As the Flames rebuild by trading key players for draft picks and younger talent, Andersson's role and future with the team is questionable.",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_26d74626-255c-4735-a05c-44f214eccc48,,2024-08-02T23:30:00Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",The Hockey News,Calgary Flames Ink Yan Kuznetsov & Adam Klapka to One-Year Deals,Kuznetsov and Klapka both spent time with the Wranglers last season,https://sports.yahoo.com/calgary-flames-ink-yan-kuznetsov-064700276.html,https://media.zenfs.com/en/the_hockey_news_articles_331/0248b57c757966ef28bc009c85536055,2024-08-13T06:47:00Z,"The Calgary Flames have signed defenseman Yan Kuznetsov and forward Adam Klapka to one-year, two-way deals, the team announced Monday.
The deals will see both players make $775,000 at the NHL level.… [+1285 chars]"
"{'id': None, 'name': 'NBCSports.com'}",NBC Sports,Cleveland Cavaliers founder and former Guardians owner Nick Mileti dies at 93,"“Nick Mileti changed the course of Cleveland sports history, and his passion and commitment will be deeply missed.”",https://www.nbcsports.com/nba/news/cleveland-cavaliers-founder-and-former-guardians-owner-nick-mileti-dies-at-93,https://s.yimg.com/ny/api/res/1.2/b1i5ENSUq4VJTwSnRMy7hw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/nbcsports.com/cbd161fa5102f7fa46024b5f77a1cc3b,2024-08-22T22:48:23Z,"Indiana Pacers v Cleveland Cavaliers - Game One
CLEVELAND (AP) Nick Mileti, who helped found the Cleveland Cavaliers and became a prominent figure in the city's sports landscape in the 1970s, has di… [+2546 chars]"
"{'id': 'cbc-news', 'name': 'CBC News'}",,Body of British businessman Mike Lynch recovered from deadly Italian yacht accident,The Italian Coast Guard said Thursday the body of British tech magnate Mike Lynch is among those recovered off the coast of Sicily from the wreckage of a superyacht whose builders had called it unsinkable.,https://www.cbc.ca/news/world/italian-yacht-accident-lynch-1.7301704,https://i.cbc.ca/1.7301744.1724331856!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/italy-boaters-missing.jpg,2024-08-22T13:36:34Z,The Italian Coast Guard said Thursday the body of British tech magnate Mike Lynch is among those recovered off the coast of Sicily from the wreckage of a superyacht whose builders had called it unsin… [+1293 chars]
"{'id': None, 'name': 'MetalSucks'}",Mihaela Petrescu,"Photos: Lamb of God, Mastodon, Kerry King, and Malevolence at Bell Centre in Montreal on August 1, 2024","You can still catch this one on tour.
The post Photos: Lamb of God, Mastodon, Kerry King, and Malevolence at Bell Centre in Montreal on August 1, 2024 appeared first on MetalSucks.",https://www.metalsucks.net/2024/08/05/photos-lamb-of-god-mastodon-kerry-king-and-malevolence-at-bell-centre-in-montreal-on-august-1-2024/,https://cdn-p.smehost.net/sites/2ed48fdcc3904f548299cd86d78e9885/wp-content/uploads/2024/08/4.-Lamb-Of-God-2934.jpg,2024-08-05T16:26:00Z,"Talk about a loaded lineup. Lamb of God and Mastodon are already an established kick ass show, they’ve toured so much together. Mastodon and Kerry King would be a great show too. But to have all thre… [+1455 chars]"
